config_idx,planning_horizon,exploration_temperature,mean_success_rate,std_success_rate,mean_convergence,mean_steps,runtime
1.0,2.0,0.1,0.0,0.0,50.0,2.0,16.1
2.0,2.0,0.3,0.0,0.0,50.0,2.0,1.6
3.0,2.0,0.5,0.0,0.0,50.0,2.0,1.5
4.0,4.0,0.1,0.0,0.0,50.0,4.0,3.2
5.0,4.0,0.3,0.01,0.0141,50.0,4.0,3.1
6.0,4.0,0.5,0.02,0.0,25.5,4.0,3.2
7.0,6.0,0.1,0.03,0.0141,50.0,5.96,5.1
8.0,6.0,0.3,0.04,0.0,50.0,5.98,4.7
9.0,6.0,0.5,0.03,0.0141,50.0,5.97,4.7
